Status,Label
Apaan ini personal bgt,Negatif
"Status hasil menggambar, status sedang ngopi atau sedang nyantay",Netral
Saya tidak pernah unggah status di FB,Negatif
"Aku tidak pernah tau usaha apa yang akan menaikan derjatku,tapi aku percaya tuhan akan memberi kesempatan itu padaku",Negatif
Vip888-Auto JP🤧🎉🎉,Negatif
Ganyang fufufafa!!! 😈,Negatif
Koboy facebook menyerang 🤢,Negatif
"Teruntuk kalian yang sudah umur 20an, ada saran gak buat kami yang umur 17/18 biar gak nyesel di umur 20an🙇",Negatif
Pengertian tentang cinta,Netral
Gini amat ya kalau udah kerja susah banget dapet pasangan 🤣🤣,Negatif
The real cari masalah 🤣,Negatif
Tidak pernah,Negatif
Merasa senang karena memiliki temam-teman sekelas yang baik,Positif
"hargailah hal sekecil apapun, karna kamu akan menyesal apabila telat menghargai",Positif
Bagiin momen indah sama keluarga & send quotes yang related dengan keadaan ,Positif
emotikon,Netral
"""Tuntutlah ilmu sejak dari buaian (ketika masih bayi) hingga liang lahat (sampai meninggal dunia).""",Netral
Konten,Netral
Suasana di pantaiii,Netral
Stalking my posts won't tell you anything. Because my account is useless,Negatif
Tidak ada ,Negatif
Pusing,Negatif
Lebih sering share postingan yang lucu atau pun relate dan posting foto kenangan dengan pasangan,Netral
membuat kata kata bijak ,Positif
💤🏃👞🐢🤝🏼🦓,Netral
"Statusnya :
Mau seberapa jauh kamu berusaha, kalo dia gak mau berubah, semuanya sia-sia",Negatif
Share postingan yang sesuai dengan suasana hati seperti senang dan sedih,Netral
Kangquen kamoe,Netral
Someone please hold my tears:),Negatif
🙂,Negatif
"Hidup adalah berkah, maka jalani dan nikmati",Positif
https://www.facebook.com/share/p/1EjyXj8bEg/,Netral
🥰🥰🥰,Positif
Bahagia ,Positif
"Postingan terakhir Facebook saya adalah kalimat:

Without syntax, language is just words.
Parsing gives structure to meaning.

 Ini adalah motivasi untuk diri Saya. Dalam teori bermakna Tanpa sintak bahasa hanya kalimat. Maka dibutuhkan Parsing sebagai penyempurna kalimat supaya mudah dimengerti. Tapi bagi kalimat ini bermakna apa yang kamu lakukan hanyalah usaha agar bergerak alias buang buang tenaga. Tanpa tujuan dan visi misi yang jelas itu tidak berarti. Artinya (Berhubung saya sedang skripsian) Saya harus lebih semangat mengerjakan skripsi Saya jangan asal mengerjakan. Semua harus terstruktur dengan tujuan, visi misi projek skripsi yang selain untuk lulus itu juga bisa berguna dan jelas. ",Positif
Tidak pernah ,Negatif
Gambar saya sendiri tidak pake kalimat,Netral
Bahagia ,Positif
"Sedih
",Negatif
Sepi..😓,Negatif
Bahagia,Positif
tft :*,Positif
"Gak pernah bikin status postingan di fb secara text, ",Netral
status kata kata aja lupa soalnya udh gaada fb,Netral
☺️,Positif
"Aku Rindu ❤😥
Hampir 3 semester kita lalui, saling bertegur sapa hanya lewat pesan WA😥
Waktu berlalu begitu cepat, tanpa banyak cerita bersama yang kita dapat 😥 Kelas 12 yang identik dengan masa masa kebersamaan, masa masa mengukir kenangan, kita lalui begitu saja.",Negatif
Aku cinta kamu,Positif
Foto menggambarkan kesehatan berolahraga ,Netral
Selamat pagi semua,Netral
"Hidup bukan tentang siapa yang tercepat, tapi siapa yang paling konsisten melangkah",Positif
Selamat hari raya idul fitri ,Netral
